policy,metric,lower_95,upper_95,successful_replicates,failed_replicates,quantile_method,master_seed,stream_seed
"TF-IDF + logistic regression, Rank 1",calibration_recall,0.9655172413793104,1.0,10000,0,linear,42,286698944177204807558945131548144382902
"TF-IDF + logistic regression, Rank 1",evaluation_recall,0.9032258064516128,1.0,10000,0,linear,42,286698944177204807558945131548144382902
"TF-IDF + logistic regression, Rank 1",recall_drift,-0.0634037819799777,0.0344827586206896,10000,0,linear,42,286698944177204807558945131548144382902
"TF-IDF + logistic regression, Rank 1",calibration_retained_no_workload,0.1057952699043148,0.2478786784618162,10000,0,linear,42,286698944177204807558945131548144382902
"TF-IDF + logistic regression, Rank 1",evaluation_retained_no_workload,0.0977454138075899,0.2281193110208654,10000,0,linear,42,286698944177204807558945131548144382902
"TF-IDF + logistic regression, Rank 1",workload_drift,-0.0301404732805904,-0.0031241999070688,10000,0,linear,42,286698944177204807558945131548144382902
"TF-IDF + logistic regression, Rank 2",calibration_recall,0.9655172413793104,1.0,10000,0,linear,42,35124980142509380434463865131209630484
"TF-IDF + logistic regression, Rank 2",evaluation_recall,0.9032258064516128,1.0,10000,0,linear,42,35124980142509380434463865131209630484
"TF-IDF + logistic regression, Rank 2",recall_drift,-0.0634037819799777,0.0344827586206896,10000,0,linear,42,35124980142509380434463865131209630484
"TF-IDF + logistic regression, Rank 2",calibration_retained_no_workload,0.1059758079075645,0.2542020220256363,10000,0,linear,42,35124980142509380434463865131209630484
"TF-IDF + logistic regression, Rank 2",evaluation_retained_no_workload,0.095644867665593,0.2351211314941884,10000,0,linear,42,35124980142509380434463865131209630484
"TF-IDF + logistic regression, Rank 2",workload_drift,-0.0306414042989685,-0.0036090952522904,10000,0,linear,42,35124980142509380434463865131209630484
"TF-IDF + logistic regression, Rank 3",calibration_recall,0.9655172413793104,1.0,10000,0,linear,42,301004702237460650154518803911570837390
"TF-IDF + logistic regression, Rank 3",evaluation_recall,0.8870967741935484,1.0,10000,0,linear,42,301004702237460650154518803911570837390
"TF-IDF + logistic regression, Rank 3",recall_drift,-0.078420467185762,0.0344827586206896,10000,0,linear,42,301004702237460650154518803911570837390
"TF-IDF + logistic regression, Rank 3",calibration_retained_no_workload,0.1097671059758079,0.2206174399711139,10000,0,linear,42,301004702237460650154518803911570837390
"TF-IDF + logistic regression, Rank 3",evaluation_retained_no_workload,0.0985856322643887,0.2019325024506371,10000,0,linear,42,301004702237460650154518803911570837390
"TF-IDF + logistic regression, Rank 3",workload_drift,-0.0314085315368491,-0.0039478132160543,10000,0,linear,42,301004702237460650154518803911570837390
TF-IDF + linear SVM,calibration_recall,0.9655172413793104,1.0,10000,0,linear,42,80869313788597194522912479736667086463
TF-IDF + linear SVM,evaluation_recall,0.8870967741935484,1.0,10000,0,linear,42,80869313788597194522912479736667086463
